gRNA_ID	Count
gRNA_1	11405
gRNA_10	11067
gRNA_100	8830
gRNA_101	5035
gRNA_102	5506
gRNA_103	7309
gRNA_104	6847
gRNA_105	9061
gRNA_106	7014
gRNA_107	9593
gRNA_108	8752
gRNA_109	4494
gRNA_11	6951
gRNA_110	5932
gRNA_111	7302
gRNA_112	5418
gRNA_113	5352
gRNA_114	10177
gRNA_115	10441
gRNA_116	6862
gRNA_117	3665
gRNA_118	3727
gRNA_119	5532
gRNA_12	5760
gRNA_120	4984
gRNA_121	4853
gRNA_122	4881
gRNA_123	6535
gRNA_124	6760
gRNA_125	5568
gRNA_126	4090
gRNA_127	6209
gRNA_128	2221
gRNA_129	3359
gRNA_13	8901
gRNA_130	4612
gRNA_131	4072
gRNA_132	3404
gRNA_133	7306
gRNA_134	7094
gRNA_135	6732
gRNA_136	7699
gRNA_137	10112
gRNA_138	7908
gRNA_139	7990
gRNA_14	5082
gRNA_140	6615
gRNA_141	16903
gRNA_142	3768
gRNA_143	9886
gRNA_144	3974
gRNA_145	7426
gRNA_146	7986
gRNA_147	9513
gRNA_148	6402
gRNA_149	11247
gRNA_15	4775
gRNA_150	7890
gRNA_151	6118
gRNA_152	5870
gRNA_153	8776
gRNA_154	5837
gRNA_155	5212
gRNA_156	3162
gRNA_157	6680
gRNA_158	2547
gRNA_159	2520
gRNA_16	7580
gRNA_160	8126
gRNA_161	4049
gRNA_162	3138
gRNA_163	8581
gRNA_164	4016
gRNA_165	7530
gRNA_166	6152
gRNA_167	5981
gRNA_168	5067
gRNA_169	5914
gRNA_17	4976
gRNA_170	3250
gRNA_171	5351
gRNA_172	6792
gRNA_173	9731
gRNA_174	8818
gRNA_175	11889
gRNA_176	7524
gRNA_177	9173
gRNA_178	6995
gRNA_179	7435
gRNA_18	5757
gRNA_180	10346
gRNA_181	13631
gRNA_182	7945
gRNA_183	6114
gRNA_184	8250
gRNA_185	7430
gRNA_186	5013
gRNA_187	8343
gRNA_188	6528
gRNA_189	3247
gRNA_19	4120
gRNA_190	3109
gRNA_191	7246
gRNA_192	7253
gRNA_193	14094
gRNA_194	8758
gRNA_195	10644
gRNA_196	16359
gRNA_197	15727
gRNA_198	10536
gRNA_199	8357
gRNA_2	6152
gRNA_20	5668
gRNA_200	9068
gRNA_201	20699
gRNA_202	16497
gRNA_203	19339
gRNA_204	21471
gRNA_205	3364
gRNA_206	8308
gRNA_207	7453
gRNA_208	9279
gRNA_209	6992
gRNA_21	5344
gRNA_210	1624
gRNA_211	2037
gRNA_212	5339
gRNA_213	5626
gRNA_214	6089
gRNA_215	5415
gRNA_216	8416
gRNA_217	7765
gRNA_218	8952
gRNA_219	16722
gRNA_22	5343
gRNA_220	25016
gRNA_221	2891
gRNA_222	11569
gRNA_223	2019
gRNA_224	9660
gRNA_225	14158
gRNA_226	18400
gRNA_227	13810
gRNA_228	18184
gRNA_229	19164
gRNA_23	9268
gRNA_230	13136
gRNA_231	16972
gRNA_232	15219
gRNA_233	4388
gRNA_234	3213
gRNA_235	2597
gRNA_236	4642
gRNA_237	20003
gRNA_238	14429
gRNA_239	26450
gRNA_24	4908
gRNA_240	22778
gRNA_241	18941
gRNA_242	23550
gRNA_243	15410
gRNA_244	11999
gRNA_245	10359
gRNA_246	22773
gRNA_247	13525
gRNA_248	7003
gRNA_249	6600
gRNA_25	7363
gRNA_250	5635
gRNA_251	3233
gRNA_252	19912
gRNA_253	9361
gRNA_254	10982
gRNA_255	7853
gRNA_256	5851
gRNA_257	11759
gRNA_258	9937
gRNA_259	16127
gRNA_26	8593
gRNA_260	1184
gRNA_261	4026
gRNA_262	7217
gRNA_263	4379
gRNA_264	4245
gRNA_265	9777
gRNA_266	13491
gRNA_267	15225
gRNA_268	9646
gRNA_269	5216
gRNA_27	10313
gRNA_270	7152
gRNA_271	13836
gRNA_272	8677
gRNA_273	7606
gRNA_274	4536
gRNA_275	8183
gRNA_276	8443
gRNA_277	9353
gRNA_278	17096
gRNA_279	6898
gRNA_28	12422
gRNA_280	7832
gRNA_281	16322
gRNA_282	7724
gRNA_283	11956
gRNA_284	10984
gRNA_285	5151
gRNA_286	12796
gRNA_287	15037
gRNA_288	24353
gRNA_289	16627
gRNA_29	5646
gRNA_290	15838
gRNA_291	4513
gRNA_292	8848
gRNA_293	7979
gRNA_294	10225
gRNA_295	13252
gRNA_296	7277
gRNA_297	7771
gRNA_298	8462
gRNA_299	6070
gRNA_3	5423
gRNA_30	5817
gRNA_300	27886
gRNA_301	9089
gRNA_302	10567
gRNA_303	6361
gRNA_304	6224
gRNA_305	3617
gRNA_306	5000
gRNA_307	6122
gRNA_308	5688
gRNA_309	13967
gRNA_31	8913
gRNA_310	9836
gRNA_311	12714
gRNA_312	13526
gRNA_313	6035
gRNA_314	8780
gRNA_315	23010
gRNA_316	22219
gRNA_317	16177
gRNA_318	2184
gRNA_319	19884
gRNA_32	4940
gRNA_320	12909
gRNA_321	8875
gRNA_322	4890
gRNA_323	2866
gRNA_324	3503
gRNA_325	3621
gRNA_326	9025
gRNA_327	3120
gRNA_328	3487
gRNA_329	4895
gRNA_33	8751
gRNA_330	2663
gRNA_331	1929
gRNA_332	6834
gRNA_333	8135
gRNA_334	5023
gRNA_335	8683
gRNA_336	3411
gRNA_337	7965
gRNA_338	5910
gRNA_339	6505
gRNA_34	9484
gRNA_340	12225
gRNA_341	6792
gRNA_342	6320
gRNA_343	6360
gRNA_344	4336
gRNA_345	2434
gRNA_346	3294
gRNA_347	5741
gRNA_348	6362
gRNA_349	6663
gRNA_35	6455
gRNA_350	5498
gRNA_351	4707
gRNA_352	7798
gRNA_353	5073
gRNA_354	5450
gRNA_355	3455
gRNA_36	9698
gRNA_37	21175
gRNA_38	15787
gRNA_39	9587
gRNA_4	7105
gRNA_40	9777
gRNA_41	7917
gRNA_42	5841
gRNA_43	6384
gRNA_44	6256
gRNA_45	5201
gRNA_46	3122
gRNA_47	9502
gRNA_48	7607
gRNA_49	7507
gRNA_5	5543
gRNA_50	10087
gRNA_51	8002
gRNA_52	3910
gRNA_53	6994
gRNA_54	3704
gRNA_55	14614
gRNA_56	3579
gRNA_57	5879
gRNA_58	1237
gRNA_59	9650
gRNA_6	4792
gRNA_60	10585
gRNA_61	7323
gRNA_62	3265
gRNA_63	10096
gRNA_64	8622
gRNA_65	6631
gRNA_66	7787
gRNA_67	4024
gRNA_68	10209
gRNA_69	10443
gRNA_7	4372
gRNA_70	12048
gRNA_71	10920
gRNA_72	12392
gRNA_73	6045
gRNA_74	17377
gRNA_75	10986
gRNA_76	8602
gRNA_77	14837
gRNA_78	9940
gRNA_79	12253
gRNA_8	5946
gRNA_80	11091
gRNA_81	2707
gRNA_82	5337
gRNA_83	4252
gRNA_84	2297
gRNA_85	3523
gRNA_86	11762
gRNA_87	8474
gRNA_88	4261
gRNA_89	15180
gRNA_9	8246
gRNA_90	15092
gRNA_91	8197
gRNA_92	5829
gRNA_93	10575
gRNA_94	8929
gRNA_95	13054
gRNA_96	12269
gRNA_97	8647
gRNA_98	4827
gRNA_99	6309
